essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,ripgrep,Faster alternative to grep
tools,htop,Interactive process viewer
tools,zathura-pdf-mupdf,PDF support for Zathura (MuPDF backend)
tools,unzip,For extracting and viewing files in .zip archives
tools,mc,A file manager that emulates Norton Commander
tools,xdotool,Command-line X11 automation tool
tools,xclip,Command line interface to the X11 clipboard
tools,maim,Utility to take a screenshot using imlib2
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,diff-so-fancy,Human readable git diff
audio,pulseaudio,A featureful general-purpose sound server
audio,alsa-utils,Advanced Linux Sound Architecture - Utilities
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,imagemagick,An image viewing/manipulation program
shell,zsh,Unix shell (Z-Shell)
shell,zsh-completions,Additional completions for Zsh
shell,zsh-syntax-highlighting,Syntax highlighting for ZSH
shell,ttf-nerd-fonts-symbols-mono,High number of mono fonts (1000-em)
shell,ncurses,System V Release 4.0 curses emulation library
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim (AUR)
neovim,ruby-neovim,Ruby for neovim (AUR)
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-tabbedex-mina86-git,Improved tabs for Urxvt (AUR)
audio-app,pavucontrol,PulseAudio Volume Control
firefox,firefox,Browser Firefox
qutebrowser,qutebrowser,A keyboard-driven vim-like browser based on PyQt5
kvm,qemu,A open source machine emulator and virtualizer
kvm,vde2,Virtual Distributed Ethernet for emulators like qemu
kvm,iptables-nft,Linux kernel packet control tool (using nft interface)
kvm,dnsmasq,Lightweight easy to configure DNS forwarder and DHCP server
kvm,bridge-utils,Utilities for configuring the Linux ethernet bridge
kvm,openbsd-netcat,TCP/IP swiss army knife. OpenBSD variant
kvm,dmidecode,Desktop Management Interface table related utilities
kvm,virt-manager,Desktop user interface for managing virtual machines
